clumsy,不器用
refurbishment,改修
skulking,隠れる
rubbish,ごみ
glint,きらめき
desparate,絶望的な
whilst,一方
pushy,強引
hermit,隠者
outrageous,法外な
presume,推測する
obliterate,消し去る
fled,逃げた
dastardly,卑劣に
senate showdown,上院の対決
deflected bolt,偏向したボルト
those pesky convors hooting about outside,外で騒いでいる迷惑な仲間たち
suitably enormous,適度に巨大な
warrants extendinf our partnership,パートナーシップの拡大を正当化する
with an accomplice,共犯者と
both be a sore,どちらも痛い
circuits in a twist,ねじれた回路
hoodlums,不良たち
consumption,消費
inanimate,無生物
elicit,引き出す
stares,見つめる
tantrums,かんしゃく
molecularly,分子的に
delectable,おいしい
cooped up,閉じ込められた
contestant,出場者
pursuits,追求
coughs up,咳をする
pesky,厄介な
sworn,宣誓した
indigestion,消化不良
peelings back,剥がれ落ちる
bouncing,跳ねる
impend,差し迫った
flora,フローラ
oppressive,抑圧的な
weird,奇妙な
rubble,瓦礫
jamming,ジャミング
vandals,破壊者
vendetta,復讐
snoozing,居眠り
liability,責任
crucial,重要な
customary,慣習的な
rumbling,ゴロゴロ
bellies,お腹
load his ship,船に荷物を積む
convors,会話
poking out,突き出ている
debacle,大失敗
thrives,繁栄する
smuggle,密輸
smithereens,粉々に
rotten,腐った
whupping,叩きのめす
peculiar chaps,奇妙な男たち
fellas,みんな
detastable,味がしない
curity,安全性
bridge lever,ブリッジレバー
oil rig,石油掘削装置
oven,オーブン
thresholds,閾値
fetid,悪臭を放つ
streaks,縞模様
blots,しみ
permeating,浸透する
irreversible,不可逆
conduct,行為
sanity,正気
tjub,チューブ
obsessed,取りつかれた
nimble,機敏な
dimming,暗くなる
confounded,困惑した
discrepancies,矛盾
fortitude,不屈の精神
fiends,悪魔
lurks,潜む
servant,サーバント
abducted,誘拐された
poured forth,注ぎ出された
poured foeth,熱々を注いだ
louse,シラミ
slaughter,虐殺
grimpse,登る
sprout,芽生え
swallowed,飲み込んだ
defiled,汚された
stifling,息苦しい
avert,回避する
wielded,振るった
tremendous,途方もない
airborne,空中
enshrine,祀る
altar,祭壇
prolifirate,増殖する
sturdy,頑丈
agony,苦痛
writhed,身もだえした
variantly,多様に
weigh,計量する
riddled,謎めいた
blowhard,大言壮語
domineering,横暴な
bumbling,不器用な
hostage,人質
dastardly,卑劣な
dereliction,放棄
abomination,忌まわしいもの
bunch of,たくさんの
settle down,落ち着く
lass,娘
compensate,補償する
infiltrated,侵入した
decency,礼儀正しさ
pouring,注ぐ
outskirts,郊外
darn,ちくしょう
geezer,老人
burgle,強盗
loot,戦利品
invent,発明する
efford,努力する
evasion,回避
staves,五線譜
insignia,記章
mortal,死すべき者
heave,持ち上げる
disembark,下船する
crevices,割れ目
reverberated,反響した
teeming,群がる
enraged,激怒した
usher,案内係
deem,考える
dormant,睡眠状態
gales,強風
throne,王位
expell,追放する
district,地区
snuck out,こっそり抜け出した
pitted,穴あき
dares,挑戦する
continent,大陸
succumb,屈服する
diminish,減少する
mortals,人間
devour,貪り食う
pummel,殴る
terrain,地形
unleash,解き放つ
joshing,冗談
hunch,予感
plummeting,急落
kindled,燃え上がった
bestow,授ける
shimmering glass,きらめくガラス
conniving,陰謀を企む
unhygienic,不衛生な
nuisance,迷惑
wooly,羊毛のような
whirlpool,渦潮
furnace,炉
stabilize,安定させる
lick,舐める
bestowed,授けられた
creed,信条
shimmer,きらめき
settle,解決する
infarmary,診療所
impudent,厚かましい
vengeance,復讐
prying,詮索好きな
arrogance,傲慢
pervaded,浸透した
exudes,滲み出る
elop,駆け落ち
shed,小屋
whimper,すすり泣く
vigor,活力
brimming,満ち溢れる
perceive,知覚する
pity,残念
tremble,震える
beard,あごひげ
glare,まぶしさ
prophesied,予言した
dawdling,のんびりする
ditch,溝
crops,作物
foolhardy,無謀な
shepherd,羊飼い
interfere,干渉する
meddling,干渉
addlepated,混乱した
wind drakes,風の竜
stagnant,停滞した
prospered,繁栄した
reckoned,推定された
bard,吟遊詩人
gusty,突風
urn,壷
concedo,私は認める
appetite,食欲
solace,慰め
mope,落ち込む
implore,懇願する
brat,ガキ
vicious,悪質な
progeny,子孫
teem,セット
riches,富
chamber,チャンバー
extraction,抽出
infilterate,潜入する
siblings,兄弟
wielder,使い手
shove off,押し出す
defy,反抗する
abuse,乱用
topple,倒れる
tizzy,興奮した
vile,そのような
simmer down,煮る
peculiar,特異な
aversion,嫌悪
desperately,必死に
troops,軍
hasty,性急な
verge,瀬戸際
sneer,冷笑する
ugly,醜い
surrender,降伏
bearer,持ち主
gaze,視線
allegiance,忠誠
swear,誓う
utterly,全く
grains,穀物
recon,偵察
stinking,臭い
overthrown,倒された
captivate,魅了する
brigands,山賊
lore,伝承
halved,悪い
beneath,下に
presume,推定する
plunder,略奪
creeps,ゾッとする
hand over,引き渡す
hand out,配る
riffraff,下品な人々
bicker,口論
condemn,非難する
decreed,布告
reap,刈り取る
pile of slag,スラグの山
grieve,悲しむ
pilgram,巡礼者
brazon,腕章
prune,プルーン
stake,ステーク
frayed,擦り切れた
